ID,URL,3/31/22 17:06,3/31/22 17:17,3/31/22 17:27,3/31/22 17:37,3/31/22 17:48,3/31/22 17:58,3/31/22 18:08,3/31/22 18:18,3/31/22 18:29,3/31/22 18:39,3/31/22 19:00,3/31/22 19:11,3/31/22 19:21,3/31/22 19:31,3/31/22 19:42,3/31/22 19:52,3/31/22 20:03
7474978,http://simontok-terbaru7826-2022.duckdns.org/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7474977,http://bokep-viral-tiktok.ownip.net/,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7474976,http://bokephuya12.duckdns.org/,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7474974,http://vidiovirall266.duckdns.org/,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7474969,http://jsbsvdgekwmsysv.duckdns.org/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7474967,http://groub18viralins.duckdns.org/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7474964,http://chat-whatsapp-linkgroup18.terbaru79.my.id/,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
7474963,http://grup-18new.duckdns.org/,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
7474962,http://bokep-viral-terbaru-montok.duckdns.org/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7474961,http://grup-viral-2022.2mydns.net/,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7474985,http://vinted.works/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474984,http://vinted.works/verification/info,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474982,http://match-monkeeeeflip102812.codeanyapp.com/empp/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7475031,https://auto-kddl.co.jp.egvzsc.shop/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7475024,http://clickini.duckdns.org/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7475022,http://cobraff11.duckdns.org/,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7475021,http://eventpesgg.duckdns.org/,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7475018,http://klaimff02isn.duckdns.org/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7475013,http://claimitemff134.duckdns.org/,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15
7475032,https://www.gittaeraz.com/PL/PL_dferty/,-1,-1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7475039,https://www.instagram.com/sucursal_720/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475038,http://dbs.safety-authorisation.com/,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
7475036,https://rewards0104.weebly.com/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7475045,http://www.netbkv.com/Template/login/,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7475047,https://www.angelfire.lycos.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475046,https://prlme.accontsesmzon.com/?confmauths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475054,https://give-sea.events/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7475055,https://www1.aenouuzuen.icu,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7475056,http://nitori.store,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475066,https://sunnylandingpages.com/usroutput/themeset1_2022-03-18-00-12-13/,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11
7475063,https://blokcloud.online/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7475061,https://0ryhe81ptf.s3.us-south.objectstorage.softlayer.net/unsanctity/index.html?key=eeebe1dd9c6dfd878b14d216c9f121d6&redirect=https://www.amazon.com#[emailÂ,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7475059,http://www.shopcontroller.net/wordpress/wp-content/upgrade/,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7475057,https://gv3martinidrivemusic-film.gv3martinidrive.club/epfl/epfl.htm,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
7475070,https://jp.mercari.kaonouw.xyz/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7475478,https://preprod.meenyoo.com/att/,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7475476,https://preprod.meenyoo.com/att/att-detail-Adjust/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7475475,https://sites.google.com/view/sharepoint-jam38292/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475474,https://polygonwallet-vivianfestas.blogspot.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5
7475471,https://liveappealforms.org/forms/contact/main/randomstring,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475470,http://drbazajoosa.co.vu/Safety_Information.html,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7475467,https://kavebasket.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475464,https://liveappealforms.org/forms/contact/main/13141059580129023.php,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7475463,https://liveappealforms.org/forms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7475462,http://freenone.com/c4ca4238a0b923820dcc509a6f75849b/2114390f3d60b87925df019c63d5ac5c/562c073ad286a793b9d03a7fff90429c/7516fd43adaa5e0b8a65a672c39845d2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475460,http://homndeco.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475459,https://adre-sety-web-das.000webhostapp.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475490,https://attcustomerralertservice2022.weebly.com/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7475489,https://attsdhjs.weebly.com/,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7475488,https://bellmailingupjected457899079sbcmailingupjected45677899079was123.weebly.com/,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7475486,https://kilonholdings.com/Att.net/,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7475484,https://www.youtube.com/watch?v=I4vfag_ZXqI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475483,https://cajapiura.nom.pe/1648748764/portada/inicio/index,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475482,https://wvvw.home-barklng.pe.caja-arequlpa.zaruralfc.com/lnicio/,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9
7475481,https://sklnsmonkey.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475479,https://7783892bellglobalm7783892atthjaiaoride.weebly.com/,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7475498,https://steamcummunity.ru,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7475497,https://attcustomernoticeadmincare2022.weebly.com/,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7475495,https://controlstatut.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475494,https://www.openconnseanft.io/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
7475493,https://panda-skin.ru,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475492,https://552sbcproaddressmailing9145562bellglobalm223.weebly.com/,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7475491,https://pengattnow.weebly.com/,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7475501,https://discord-niitro.com,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7475506,https://www.coupons-cash.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475505,https://verifikasi-akun02.weeblysite.com/,8,8,8,8,13,13,13,13,13,13,13,13,13,13,13,13,13
7475504,https://verifikasi-identitas-anda7.webnode.page/,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7475507,https://service-ameli.info/renouvellement/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7475511,https://www.verif-recharges.com,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7475510,https://compteameli.com/,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7475509,https://compte-carte-vitale.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475508,https://mademande-vitale.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475513,https://biancodecor.com.br/cli/BPD/Notificaciones_Popularenlinea_Consumo/,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7475515,http://servientrega-box.com/wps/portal/ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTS08TTwMTAz93f1cTAwCg5yMfP0MHY0cfY30wwkpiAJKG-AAjgb6XoQUAF1gVOTr7JuuH1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475514,http://servientrega-box.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475532,https://craig-t-hernandez-a8c481.ingress-daribow.easywp.com/wp-includes/block-supports/alba/clients/login.php,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7475530,http://alainqssqsss.servepics.com,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7475529,http://ebroubankcd.sytes.net/www/frontend/loginStep1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475528,https://spk-mitarbeiterportal2022.com/sicher-einloggen,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7475527,https://spk-kundenmandat2022.com/sicher-einloggen,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7475547,https://aeon-tops.shop/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475545,https://www.defiklngdomes-game.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475551,https://vvww.homebank-ing.caja-arequipa.dandraspa.com/clientes/,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5
7475549,https://heartisvenice.wordpress.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475557,http://precoveridentitysacure.co.vu/confirmid.php,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15
