ID,URL,2022-04-08 09:31:48,2022-04-08 10:32:30,2022-04-08 11:32:52,2022-04-08 12:33:18,2022-04-08 13:33:41,2022-04-08 14:34:00,2022-04-08 15:34:25,2022-04-08 16:34:48,2022-04-08 17:35:13,2022-04-08 18:35:37,2022-04-08 19:35:59,2022-04-08 20:36:20,2022-04-08 21:36:43
7480443,https://olpensea.com/,11,11,11,11,11,11,12,12,12,12,12,12,12
7480441,https://884sbcproaddressmailing55233492bellglobalm7783892atthjaiaoride.weebly.com/,13,13,13,13,13,13,13,13,13,13,13,13,13
7480449,https://aave-app.art/,8,8,10,10,10,10,10,10,10,10,10,10,10
7480447,https://bendigobank.com.au.reset-account.info,8,8,8,8,8,8,8,8,8,8,8,8,8
7480446,http://walletconnectwebs.com,10,10,10,10,10,10,10,10,10,10,10,10,10
7480454,https://disgextension.com/,16,16,16,16,16,16,16,16,16,16,16,16,16
7480460,https://mysupport-nnetannask.xyz/,16,16,16,16,16,16,16,16,16,16,16,15,15
7480458,https://ronin-help.team/abuse/,15,15,15,15,15,15,15,15,15,15,15,15,15
7480464,https://chainlist.eu/?gclid=EAIaIQobChMIi7LLjpP-9gIVC2AYCh3Nwg7AEAMYASAAEgL-3_D_BwE,12,12,12,12,12,12,12,12,12,12,12,12,12
7480473,https://banrural.infoutilitygt.com/login,15,15,15,15,15,15,15,15,15,15,15,15,15
7480477,https://a-u-ac-jp.weebly.com/,9,9,9,9,9,9,9,9,9,9,9,9,9
7480476,https://attadmindomainss99k.weebly.com/,14,14,14,14,14,14,14,14,14,14,14,14,14
7480481,https://app1--ldauth.appleld.0ddcs0.live/?a57a5a743894a0,8,8,8,8,8,8,8,8,8,8,9,9,9
7480487,https://wallrtconnect.netlify.app,17,17,17,17,17,17,17,17,17,17,17,17,17
7480488,https://garenagaming.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7480492,https://ded4340.inmotionhosting.com/~expertym/wp-includes/blocks/reel/MailUpdateFresh/index.html?err=R4XL67NTXV6WJQXWULD&dispatch=02c&id=8bAbA2aa9C861ab521cc3383b4A7ab#[emailÂ,13,13,13,13,13,13,13,13,13,13,11,11,11
7480494,https://vitallyprofound.com/ionss/v1/index.html#[emailÂ,19,19,19,19,19,19,19,19,19,19,19,19,19
7480500,https://authorizedcookedcase.lefkljshdvakd.repl.co/dksannsnkagswtefagvsd.html#[emailÂ,16,16,16,16,16,16,16,16,16,16,16,16,16
7480503,https://forms.zohopublic.eu/shereee729/form/SIGNINYOURBTACCOUNTCORRECTLY/formperma/OKxq4ftMbr8fokm9s7COE_bMFUw9WgNCsTP6LghBtio,8,8,8,8,8,8,8,8,8,8,8,8,8
7480502,https://forms.zohopublic.eu/teresandyy/form/SIGNINYOURBTACCOUNTHERECORRECTLY/formperma/3MadV2cZgAkGD3a29YCHDibfBY4N_uPJ-Ebf52kPenc,6,6,6,6,6,6,6,6,6,6,6,6,6
7480501,https://business-home-securebt.weebly.com/,11,11,11,11,11,11,11,11,11,11,11,11,11
7480518,http://www.rinvio-carta-di-credito.it/BPER/surf7.php,1,1,1,1,1,1,1,1,1,1,1,1,1
7480521,https://portale-wdb.com/,14,14,14,14,14,14,14,14,14,14,14,14,14
7480525,https://www.google.md/url?usg=AFQjCNGivfYSHvFRCmgQqLO_c-a_vQuzHg&sntz=1&sa=D&q=https://spk-kunden-nutzen.com/8QY67Y8Z54#LUqrwaNfJtb,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7480524,https://www.google.mu/url?usg=AFQjCNHip6LhX2_wo1H8JwssaO1yxtr1TA&sntz=1&sa=D&q=https://spk-mitarbeiter-nummer.com/LPHF0IAY32#QpPoRU7M6pT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7480533,http://sunlet.com.hk,0,0,0,0,0,0,0,0,0,0,0,0,0
7480531,http://www.floranostra.hu/main/form/,11,11,11,11,11,11,11,11,11,11,11,11,11
7480538,http://2udapps.online,13,13,13,13,13,13,13,13,13,13,13,13,13
7480541,https://application.axisbank.co.in/App_redirect/redirect.aspx?id=excesscredit,0,0,0,0,0,0,0,0,0,0,0,0,0
7480545,https://theproperrestaurant.net/mps_t/,4,4,4,4,4,4,4,4,4,4,4,4,4
7480544,https://tinyurl.com/sicurezza-allert-MPS,7,7,7,7,7,7,7,7,7,7,7,7,7
7480543,https://duplicate-of-online-pdf-portal.ycodeapp.com/,10,10,10,10,10,9,9,9,9,9,9,9,9
7480554,https://siena-assist.com/accedi.it/,13,13,13,13,13,13,13,13,13,13,11,11,11
7480611,http://guardmindset.co.za/laravel/vendor/guzzlehttp/vulamahlo.htm,9,9,9,9,9,9,9,9,9,9,9,9,9
7480594,https://navigo.net.ru,17,17,17,17,17,17,17,17,17,17,17,17,17
7480623,http://paquete-correos-express.es.swtest.ru/Es-Correos/servicio_al_cliente/Seleccione_medio_de_pago.php,12,12,12,12,12,12,12,12,12,12,12,12,12
7480622,https://us-irs.gov-get-your-coronavirus-impact-status.com/,12,12,12,12,12,14,14,14,14,14,14,14,14
7480617,https://rirdufuspo.weebly.com/,16,16,16,16,16,16,16,16,16,16,16,16,16
7480615,https://attcustomeralertser2022.weebly.com/,15,15,15,15,15,15,15,15,15,15,15,15,15
7480637,https://flowserver.xyz,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7480630,http://attachedfile-com.duckdns.org/microsoft/account.php,19,19,19,19,19,19,19,19,19,19,19,19,19
7480643,https://v2.unrekt.net/,5,5,5,5,5,5,5,5,5,5,5,5,5
7480646,https://freeosieoc.ml/,17,17,17,17,17,17,17,17,17,17,17,17,17
7480645,http://aalegro.com,0,0,0,0,0,0,0,0,0,0,0,0,0
7480663,https://dfghjkertyuiktyuil.weeblysite.com/,17,17,17,17,17,17,17,17,17,17,17,17,17
7480662,http://findomestic.briceni.md/,14,14,14,14,14,14,14,14,14,14,14,14,14
7480655,https://vollora.com,0,0,0,0,0,0,0,0,0,0,0,0,0
7482007,https://tc-donaustetten.de/administrator/components/com_dpcalendar/libraries/caldav/vendor/sabre/vobject/lib/Sabre/VObject/Property/ICalendar/admin.php?r=bD1odHRwczovL3Nway1rdW5kZW5kZXBvdC5jb20vMjQ3UjZHWjkxWg==,3,3,8,8,8,8,8,8,8,8,8,8,8
7482005,https://atthgshshjs.weebly.com/,14,14,14,14,14,14,14,14,14,14,14,14,14
7482002,https://www.lrs22.info/?10271807311,13,13,13,13,13,13,13,13,13,13,14,14,14
7482000,https://assetaccess.site/app/index.html,2,2,2,2,7,7,7,7,7,7,7,7,7
7481999,http://assetaccess.site,1,1,1,1,1,1,1,1,1,1,1,1,1
7481997,https://freeaccountupdate.weebly.com/,15,15,15,15,15,15,15,15,15,15,15,15,15
7481996,https://gfhfjhejathjvnmnjmattcu.weebly.com/,8,8,8,8,15,15,15,15,15,15,15,15,15
7481990,https://webde6.yolasite.com/,11,11,11,11,11,11,11,11,11,11,11,11,11
7482525,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjD3sORkoP3AhWVZIsKHV4-A_gYABAAGgJ0bQ&ae=2&ohost=www.google.com&cid=CAASJeRo70mx2Is4Vg1I9iopAPYxwKC4v8Kee7NWuAXpJgnW6fCSCwM&sig=AOD64_3pmttcqUbeMhqWW-zLsfEYp-OBFQ&q&adurl&ved=2ahUKEwiemL2RkoP3AhUEqFYBHWZYCmIQ0Qx6BAgDEAE?shiny,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7482524,https://0fficlal-exchan9e.com/bitFlyer-0fficial/flyer/?shiny,13,13,13,14,14,14,14,14,14,14,14,14,14
7482523,https://maileraunthenticaton1.firebaseapp.com/,11,11,11,10,10,10,10,10,10,10,10,10,10
7482513,http://activa.tu.cuenta.en.linea.viabcp.hoeve-te-koop.be/,7,7,7,7,7,7,7,7,7,7,7,7,7
7482511,https://tax-paymentsafe.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7482509,https://irs.federalusaonline.com/?verify,1,1,1,17,17,17,17,17,18,18,18,18,18
7482508,http://40.82.145.107?key=NR1yF,4,4,4,4,4,4,4,4,12,12,12,12,12
7482529,https://openseabot.biz/,3,3,3,3,3,3,3,3,11,11,11,11,11
7482532,https://verifikasi-fb-security.weebly.com/,6,6,6,18,18,18,18,18,18,18,18,18,18
7482531,https://pemberitahuan-resmi.weebly.com/konfirmasi-ulang-identitas.html,5,5,5,5,5,5,5,5,5,5,5,5,15
7482581,https://domaimvalidatte53.firebaseapp.com/,10,10,10,10,10,10,10,10,10,10,10,10,10
7482580,https://domaimvalidatte61.web.app/,2,2,2,12,12,12,12,12,12,12,12,12,12
7482635,https://newmyetherwallet.space/,1,1,1,1,1,1,1,1,1,1,1,1,1
7482663,http://kddl.auto-co-jp.pebadf.club/,14,14,14,14,14,14,15,15,14,14,14,14,14
7482661,https://lnkd.in/gxsUkN_z?=hMaWYn6K,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7482658,https://auto-mobile.ddns.net/,4,4,4,4,4,4,4,4,4,4,4,4,4
7482714,https://diligentmemorablecomputing.somosconfianza.repl.co/,13,13,13,13,13,13,13,13,14,14,14,14,14
7482713,https://kuyiudtfuktyf-dx2y9pf88v325170.codeanyapp.com/jhzhhhz/,7,7,7,7,7,7,7,7,11,11,11,11,11
7482709,https://www.etcmeisain.tk/,0,0,0,0,0,0,0,0,0,0,0,0,0
7482718,https://prestacashgobsd.com/,6,6,6,6,6,6,6,6,10,10,10,10,10
7482715,http://foundationsolana.com,1,1,1,1,1,1,1,1,1,1,1,1,1
7482721,https://pideunapreevaluac1on.interappperubankorg.live/,0,0,0,0,0,0,0,0,0,0,0,0,11
7482736,https://azoamzn.co.ip.am1o2.shop/,14,14,14,16,16,16,16,16,17,17,17,17,17
7482734,https://poznklna0.vip/jp,7,7,7,7,7,7,7,7,9,9,9,9,9
7482741,https://gabagul.com/ff9b2fd85f681b3800/46/50-2454/1427614-109-89508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7482738,https://ftx6.vip/,7,7,7,7,7,7,7,7,10,10,10,10,10
7482755,https://fixupvalidate.com/,16,16,16,16,16,16,16,16,16,16,16,16,16
7482753,https://www.mcacoecaosri.icu/,16,16,15,15,15,15,15,15,16,16,16,16,16
7482747,https://bankbanbifprest1secure2org.prestbnkbif.xyz/,0,0,0,0,0,0,0,0,0,0,0,4,4
7482787,http://www.100.red/?n=nitori.group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7482786,http://nitori.group,1,1,1,1,1,1,1,1,1,1,1,1,1
