ID,URL,3/31/22 11:29,3/31/22 11:39,3/31/22 11:50,3/31/22 12:00,3/31/22 12:11,3/31/22 12:21,3/31/22 12:31,3/31/22 12:42,3/31/22 12:52,3/31/22 13:02,3/31/22 13:17,3/31/22 13:27,3/31/22 13:37,3/31/22 13:48,3/31/22 13:58,3/31/22 14:08,3/31/22 14:19,3/31/22 14:29,3/31/22 14:39,3/31/22 14:49,3/31/22 15:00,3/31/22 15:10,3/31/22 15:20,3/31/22 15:31,3/31/22 15:41,3/31/22 15:51,3/31/22 16:02
7474871,https://infoau-jp.lonecatalysts.com/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474870,https://infoau-auone.psestremoz.com/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7474893,https://listingdrop-pitbull.com/,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7474897,http://cryptowalletconnectors.com,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7474896,https://ppucbonline.com/wp-admin/css/js/index1.html,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7474900,https://financeswapcake.com/,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474906,https://metamask-us-en.com/,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7474904,http://saisoncardt.club/netservice/card.jsp,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7474903,https://decentral-game.org/,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7474910,https://solanart.pro:443/,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7474907,https://www.visa-co-jp.gftdze.xyz/cardinfo.php?ignin&openid.idec_handle=jpenid.net%2Fauth%2F2.0&&ref_=nav_em_hd_clc_signin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7474918,https://auone.ministrationa.xyz/?u=aHR0cHM6Ly93dW1vdS5saXZlL3Byb2R1Y3RzLzg4OHl5bml1ODg4Lmh0bWw/ZmJjbGlkPUl3QVIzTS1fTGRQUS05ZWdsZTc4bXRkYkt0RC11OVJMTmVnTEY0S1JMRXJCMjh1NWlNb2V6c2hrbnZVQU0=,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7474917,https://www.smbc-login.top/client/index.html,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7474930,http://www.lisfer-resoetnsc.icu/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7474925,https://www.lisfer-rcseeteso.com/,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474924,https://www.meseosri.com,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474923,https://www.maseaeoeari.icu,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7474920,https://eki-nat.cc/Personal/member/Login/index.php?oneTimeAccessID=f9492eaf07c44f5a38b744435202a740,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474919,http://eki-nat.cc,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474940,https://www.netstation.aplas.lweji.com/,11,11,11,11,11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15
7474939,https://vk-further.ru/,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474937,http://admin-provk.ru/,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474936,https://mail-account-verify-22c24.web.app/,11,11,11,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7474935,https://vkontakte.app/,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
7474949,https://bijitendu.com/mi.us/,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7474948,https://thezyn.info/eua/weds/office/login.php,15,15,15,15,15,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
7474947,https://snaptutorial.com/MarchNews/,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7474946,https://my.commbank.com.au0x7kqn16hvt2commbank.cirkonuniversum.hu/.netbank/Logon/ine_api64.html,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
7474945,https://cirkonuniversum.hu/js/.index.php,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7474943,https://parsi-travel.com/abx/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474979,https://woiuakjhzzaq-toyonav544466411.codeanyapp.com/wiojaas/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7474978,http://simontok-terbaru7826-2022.duckdns.org/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7474977,http://bokep-viral-tiktok.ownip.net/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7474976,http://bokephuya12.duckdns.org/,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7474974,http://vidiovirall266.duckdns.org/,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7474969,http://jsbsvdgekwmsysv.duckdns.org/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7474967,http://groub18viralins.duckdns.org/,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7474964,http://chat-whatsapp-linkgroup18.terbaru79.my.id/,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7474963,http://grup-18new.duckdns.org/,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
7474962,http://bokep-viral-terbaru-montok.duckdns.org/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7474961,http://grup-viral-2022.2mydns.net/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7474985,http://vinted.works/,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474984,http://vinted.works/verification/info,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474982,http://match-monkeeeeflip102812.codeanyapp.com/empp/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7475031,https://auto-kddl.co.jp.egvzsc.shop/,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7475024,http://clickini.duckdns.org/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7475022,http://cobraff11.duckdns.org/,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7475021,http://eventpesgg.duckdns.org/,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7475018,http://klaimff02isn.duckdns.org/,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7475013,http://claimitemff134.duckdns.org/,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7475032,https://www.gittaeraz.com/PL/PL_dferty/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475039,https://www.instagram.com/sucursal_720/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475038,http://dbs.safety-authorisation.com/,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7475036,https://rewards0104.weebly.com/,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7475045,http://www.netbkv.com/Template/login/,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7475047,https://www.angelfire.lycos.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475046,https://prlme.accontsesmzon.com/?confmauths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475054,https://give-sea.events/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7475055,https://www1.aenouuzuen.icu,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7475056,http://nitori.store,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7475066,https://sunnylandingpages.com/usroutput/themeset1_2022-03-18-00-12-13/,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
7475063,https://blokcloud.online/,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7475061,https://0ryhe81ptf.s3.us-south.objectstorage.softlayer.net/unsanctity/index.html?key=eeebe1dd9c6dfd878b14d216c9f121d6&redirect=https://www.amazon.com#[emailÂ,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7475059,http://www.shopcontroller.net/wordpress/wp-content/upgrade/,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7475057,https://gv3martinidrivemusic-film.gv3martinidrive.club/epfl/epfl.htm,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7475070,https://jp.mercari.kaonouw.xyz/,8,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
