ID,URL,3/23/22 19:04,3/23/22 19:15,3/23/22 19:26,3/23/22 19:36,3/23/22 19:46,3/23/22 19:57,3/23/22 20:07,3/23/22 20:18,3/23/22 20:28,3/23/22 20:38,3/23/22 20:49,3/23/22 20:59,3/23/22 21:10
7470035,https://at-t-yahoo-67c1e3.webflow.io/,2,2,2,2,2,2,2,2,2,2,2,2,2
7470034,https://sites.google.com/view/gajiview/yahoo-com,2,2,2,2,2,2,2,2,2,2,2,2,2
7470042,https://atttloginvalkidateww.weebly.com/,4,4,4,4,4,4,4,4,4,4,4,4,4
7470041,http://act-premco.hostfree.pw/,10,10,10,10,10,10,10,10,10,10,10,10,10
7470048,https://wendrich.000webhostapp.com/,9,9,9,9,9,9,9,9,9,9,9,9,9
7470047,https://extracashdigitalsitio.com/src/imagen/logo-white.svg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470044,http://horizonas.co.uk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470043,https://storage.googleapis.com/rewrd/ser.html,0,0,1,1,1,1,1,1,1,1,1,1,1
7470052,https://www.thelandsendstore.us/,1,1,1,1,1,1,1,1,1,1,1,1,1
7470050,https://rebelliongroup.com.au/home/assets/,3,3,3,3,3,3,3,3,3,3,3,3,3
7470060,http://stornompsienaonline.com/,0,0,0,0,0,0,0,0,12,12,12,12,12
7470057,http://nplusonecustoms.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470056,https://sistemabloccompsiena.com/,13,13,13,13,13,13,13,13,13,13,13,13,13
7470055,https://designer-home-decoration.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470064,https://aruba-pagamento.myftp.org/,0,0,0,0,0,0,0,0,0,0,0,0,0
7470061,https://yahoocomsing.weebly.com/,3,3,3,3,3,3,3,3,3,3,3,3,3
7470072,https://www.isparil.uno/,3,3,3,3,3,3,3,3,3,3,3,3,3
7470075,https://espace-cartevitale.com/,0,0,0,0,0,0,0,0,0,0,0,0,0
7470083,http://www.fiverr.vip/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470080,https://7urfsk8664.z13.web.core.windows.net/?text=b726fd3629e65ea67a5018e2a34b73ad,0,0,0,0,0,0,0,0,0,0,0,0,0
7470078,https://www.murakamiflowers-kaikaikikii.com/,3,3,3,3,3,3,3,3,7,7,7,7,7
7470077,https://smbc.co.jp.mvcjo.com/client/index.html,8,8,8,8,8,8,8,8,8,8,8,8,8
7470089,https://5o7yi-vyaaa-aaaad-qbsvq-cai.ic.fleek.co/#@yorku.ca,2,2,5,5,5,5,5,5,5,5,5,5,5
7470087,https://websmidassbuyy.com/,15,15,15,15,15,15,15,15,15,15,15,15,15
7470097,https://info-materialse.com/,2,2,2,2,2,2,2,2,2,2,2,2,2
7470095,https://spk-kunden-konto.com/sicher-einloggen,10,10,10,10,10,10,10,10,10,10,10,10,10
7470092,https://fr-logisticsllc.com/,1,1,1,1,1,1,1,1,1,1,1,1,1
7470091,https://digitalgrup-banproonline.com/,7,7,12,12,12,12,12,12,12,12,12,12,12
7470099,https://gvxnkubvfg.web.app/#[emailÂ,3,3,3,3,3,3,3,3,3,3,3,3,3
7470102,https://variablesports.com/RS/Notificaciones_Banreservas/,6,6,6,6,6,6,6,6,6,6,6,6,6
7470100,https://in2homedecorprojects.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470096,https://bestipagefcu.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470104,https://www.youtube.com/channel/UCTvFNMp6lTCwe1ogse6Xs3w,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470103,https://dplanet.synnexsoftech.com/bethpagefcu.services/#wa=wsignin1.0&rpsnv=13&ct=1539585327&rver=7.0.6737.0&wp=MBI_SSL&wreply=https%3a%2f%2foutlook.live.com%2fowa%2f%3fnlp%3d1%26RpsCsrfState%3d715d44a2-2f11-4282-f625-a066679e96e2&id=292841&CBCXT=out&lw=1&fl=dob%2cflname%2cwld&cobrandid=90015&domain=,1,1,1,1,1,1,1,1,10,10,10,10,10
7470109,https://mftele.com/cgi-sys/suspendedpage.cgi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470108,https://mftele.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470107,https://fiverr.bestreviewer.net,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470106,https://fiverr.rofirahman.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470115,https://verisonenterprice.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470111,https://fiverr.dotverity.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470116,https://id-utah.cfd/,2,2,2,2,2,2,2,2,7,7,7,7,7
7470130,https://diverr.org,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470125,https://fiverr.ecomvillas.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470124,http://www.audiofiverr.xyz/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470120,https://mainnet-dappsauth.org,4,4,4,4,4,4,4,4,8,8,8,8,8
7470129,https://fiverr.cdnapi.site,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470140,https://reasonably-expect.my.id/login.php,8,8,8,8,8,8,12,12,12,12,12,12,12
7470139,https://expression-is-unique.my.id/,7,7,7,7,7,7,14,14,14,14,14,14,14
7470138,https://www.sgn-dbe.sbs/doc/,0,0,0,0,0,0,0,0,0,0,0,0,0
7470137,https://through-ourselves-only.my.id/,6,6,6,6,6,6,14,14,14,14,14,14,14
7470136,https://business-page-appeal-12634-21.web.app/appeal.html,9,9,9,9,9,9,17,17,17,17,17,17,17
7470143,https://multibank.com.loginaspx.com/,2,2,2,2,2,2,2,2,2,2,2,2,2
7470142,http://onlinebussines.design/,0,0,0,0,0,0,0,0,0,0,0,0,0
7470150,https://thelian.com/assets/figures/api.html,3,3,3,3,3,3,3,3,3,3,3,3,3
7470149,https://rb.gy/d3wg44,1,1,1,1,1,1,1,1,1,1,1,1,1
7470148,https://l.wl.co/l?u=https://is.gd/VohPj6?trackingid=lqLOF65S&signature=newsletter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470146,https://irsfederalgovernment.001www.com/?online,4,4,4,4,4,4,4,4,4,4,4,4,4
7470151,https://irs-profiletax-info.com//?online,1,1,1,1,1,1,1,1,1,1,1,1,1
7470155,https://congeladoshouse.es/modules/cookiesplus/views/js/u-kra/,-1,-1,-1,4,4,4,4,4,4,4,4,4,4
7470153,https://tax-refund-lrs-homepage.com,-1,-1,-1,7,7,7,7,7,7,7,7,7,7
7470163,http://yip.su/29FKW6,-1,-1,-1,13,13,13,13,13,13,13,13,13,13
7470162,https://susaksha.com/exodus/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470161,https://www.smbc-ceno.tk/jp,0,0,0,0,0,0,0,0,0,0,0,0,0
7470166,https://www.dinoschapman.com/wp-content/plugins/ibwhplfkzm/optus/optus/optus/,-1,-1,3,3,3,3,3,3,3,3,3,3,3
