ID,URL,4/6/22 12:01,4/6/22 13:02,4/6/22 14:02,4/6/22 15:02,4/6/22 16:03,4/6/22 17:03,4/6/22 18:03,4/6/22 19:04,4/6/22 20:04,4/6/22 21:04
7480454,https://disgextension.com/,12,12,12,12,12,12,14,14,14,14
7480460,https://mysupport-nnetannask.xyz/,13,15,15,15,15,15,15,15,15,15
7480458,https://ronin-help.team/abuse/,12,13,13,13,13,13,13,13,13,13
7480464,https://chainlist.eu/?gclid=EAIaIQobChMIi7LLjpP-9gIVC2AYCh3Nwg7AEAMYASAAEgL-3_D_BwE,7,7,7,7,7,7,10,10,10,10
7480473,https://banrural.infoutilitygt.com/login,0,0,0,0,0,0,13,13,13,13
7480477,https://a-u-ac-jp.weebly.com/,1,1,1,1,1,1,1,1,1,1
7480476,https://attadmindomainss99k.weebly.com/,5,16,16,16,16,16,16,16,16,16
7480481,https://app1--ldauth.appleld.0ddcs0.live/?a57a5a743894a0,6,6,6,6,6,6,9,9,9,9
7480487,https://wallrtconnect.netlify.app,11,17,17,17,17,17,17,17,17,17
7480488,https://garenagaming.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7480492,https://ded4340.inmotionhosting.com/~expertym/wp-includes/blocks/reel/MailUpdateFresh/index.html?err=R4XL67NTXV6WJQXWULD&dispatch=02c&id=8bAbA2aa9C861ab521cc3383b4A7ab#[emailÂ,9,9,9,9,9,9,11,11,11,11
7480494,https://vitallyprofound.com/ionss/v1/index.html#[emailÂ,14,18,18,18,18,18,19,19,19,19
7480500,https://authorizedcookedcase.lefkljshdvakd.repl.co/dksannsnkagswtefagvsd.html#[emailÂ,11,11,11,11,11,11,16,16,16,16
7480503,https://forms.zohopublic.eu/shereee729/form/SIGNINYOURBTACCOUNTCORRECTLY/formperma/OKxq4ftMbr8fokm9s7COE_bMFUw9WgNCsTP6LghBtio,1,1,1,1,1,1,1,1,1,1
7480502,https://forms.zohopublic.eu/teresandyy/form/SIGNINYOURBTACCOUNTHERECORRECTLY/formperma/3MadV2cZgAkGD3a29YCHDibfBY4N_uPJ-Ebf52kPenc,1,1,1,1,6,6,6,6,6,6
7480501,https://business-home-securebt.weebly.com/,12,12,12,12,12,12,13,13,13,13
7480518,http://www.rinvio-carta-di-credito.it/BPER/surf7.php,1,1,1,1,1,1,1,1,1,1
7480521,https://portale-wdb.com/,7,7,7,7,7,7,7,7,7,7
7480525,https://www.google.md/url?usg=AFQjCNGivfYSHvFRCmgQqLO_c-a_vQuzHg&sntz=1&sa=D&q=https://spk-kunden-nutzen.com/8QY67Y8Z54#LUqrwaNfJtb,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7480524,https://www.google.mu/url?usg=AFQjCNHip6LhX2_wo1H8JwssaO1yxtr1TA&sntz=1&sa=D&q=https://spk-mitarbeiter-nummer.com/LPHF0IAY32#QpPoRU7M6pT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7480533,http://sunlet.com.hk,0,0,0,0,0,0,0,0,0,0
7480531,http://www.floranostra.hu/main/form/,6,6,6,6,6,6,10,10,10,10
7480538,http://2udapps.online,3,12,12,12,15,15,15,15,15,13
7480541,https://application.axisbank.co.in/App_redirect/redirect.aspx?id=excesscredit,0,0,0,0,0,0,0,0,0,0
7480545,https://theproperrestaurant.net/mps_t/,4,4,4,4,4,4,4,4,4,4
7480544,https://tinyurl.com/sicurezza-allert-MPS,5,7,7,7,7,7,7,7,7,7
7480543,https://duplicate-of-online-pdf-portal.ycodeapp.com/,2,2,2,2,2,2,2,2,2,2
7480554,https://siena-assist.com/accedi.it/,5,12,12,12,12,12,12,12,12,12
7480611,http://guardmindset.co.za/laravel/vendor/guzzlehttp/vulamahlo.htm,3,3,3,3,3,3,3,3,3,7
7480594,https://navigo.net.ru,14,14,17,19,19,19,19,19,19,19
7480623,http://paquete-correos-express.es.swtest.ru/Es-Correos/servicio_al_cliente/Seleccione_medio_de_pago.php,8,8,8,8,8,8,12,12,12,12
7480622,https://us-irs.gov-get-your-coronavirus-impact-status.com/,8,8,8,8,8,8,8,8,8,8
7480617,https://rirdufuspo.weebly.com/,8,19,19,19,19,19,19,19,19,19
7480615,https://attcustomeralertser2022.weebly.com/,14,14,14,14,14,14,14,15,15,15
7480637,https://flowserver.xyz,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7480630,http://attachedfile-com.duckdns.org/microsoft/account.php,17,17,17,17,17,17,17,17,17,17
7480643,https://v2.unrekt.net/,4,4,4,4,4,4,4,4,4,4
7480646,https://freeosieoc.ml/,8,17,17,17,17,17,17,17,17,17
7480645,http://aalegro.com,0,0,0,0,0,0,0,0,0,0
7480663,https://dfghjkertyuiktyuil.weeblysite.com/,4,14,14,14,14,14,14,14,14,14
7480662,http://findomestic.briceni.md/,7,7,7,7,7,7,7,7,7,7
7480655,https://vollora.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7480652,https://admin.paymetry.com/MCVUaDg/?key={random_letternumberuplow_5},-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
