ID,URL,3/23/22 16:58,3/23/22 17:08,3/23/22 17:18,3/23/22 17:29,3/23/22 17:39,3/23/22 17:49,3/23/22 18:00,3/23/22 18:10,3/23/22 18:20,3/23/22 18:31,3/23/22 18:41,3/23/22 18:52
7470020,https://sgp1.digitaloceanspaces.com/reviewthedoc/Quior700.html,9,9,9,9,9,9,9,9,9,9,9,9
7470019,https://extracashdigitalsitio.com,11,11,11,11,11,11,11,11,11,11,11,11
7470018,https://syz.blob.core.windows.net/fgt/doc365.html,5,5,5,5,5,5,5,5,5,5,5,5
7470033,https://tinyurl.com/app/nospam/tinyurl.com/ycdnmbtx/terminated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470032,https://tinyurl.com/ycdnmbtx,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470031,https://www.doc43.com/,17,17,17,17,17,17,17,17,17,17,17,17
7470030,https://dliviklovinvest.xyz/,9,9,9,9,9,9,9,9,9,9,9,9
7470029,https://mfgroup.live,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470025,https://fiverr100.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470039,http://afterpay.vip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470038,https://homedecotators.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470035,https://at-t-yahoo-67c1e3.webflow.io/,2,2,2,2,2,2,2,2,2,2,2,2
7470034,https://sites.google.com/view/gajiview/yahoo-com,2,2,2,2,2,2,2,2,2,2,2,2
7470042,https://atttloginvalkidateww.weebly.com/,4,4,4,4,4,4,4,4,4,4,4,4
7470041,http://act-premco.hostfree.pw/,4,4,4,4,10,10,10,10,10,10,10,10
7470048,https://wendrich.000webhostapp.com/,1,1,1,1,1,1,1,9,9,9,9,9
7470047,https://extracashdigitalsitio.com/src/imagen/logo-white.svg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470044,http://horizonas.co.uk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470043,https://storage.googleapis.com/rewrd/ser.html,0,0,0,0,0,0,0,0,0,0,0,0
7470052,https://www.thelandsendstore.us/,1,1,1,1,1,1,1,1,1,1,1,1
7470050,https://rebelliongroup.com.au/home/assets/,3,3,3,3,3,3,3,3,3,3,3,3
7470060,http://stornompsienaonline.com/,0,0,0,0,0,0,0,0,0,0,0,0
7470057,http://nplusonecustoms.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470056,https://sistemabloccompsiena.com/,13,13,13,13,13,13,13,13,13,13,13,13
7470055,https://designer-home-decoration.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470064,https://aruba-pagamento.myftp.org/,0,0,0,0,0,0,0,0,0,0,0,0
7470061,https://yahoocomsing.weebly.com/,3,3,3,3,3,3,3,3,3,3,3,3
7470072,https://www.isparil.uno/,3,3,3,3,3,3,3,3,3,3,3,3
7470075,https://espace-cartevitale.com/,0,0,0,0,0,0,0,0,0,0,0,0
7470083,http://www.fiverr.vip/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470080,https://7urfsk8664.z13.web.core.windows.net/?text=b726fd3629e65ea67a5018e2a34b73ad,0,0,0,0,0,0,0,0,0,0,0,0
7470078,https://www.murakamiflowers-kaikaikikii.com/,3,3,3,3,3,3,3,3,3,3,3,3
7470077,https://smbc.co.jp.mvcjo.com/client/index.html,8,8,8,8,8,8,8,8,8,8,8,8
7470089,https://5o7yi-vyaaa-aaaad-qbsvq-cai.ic.fleek.co/#@yorku.ca,2,2,2,2,2,2,2,2,2,2,2,2
7470087,https://websmidassbuyy.com/,15,15,15,15,15,15,15,15,15,15,15,15
7470097,https://info-materialse.com/,2,2,2,2,2,2,2,2,2,2,2,2
7470095,https://spk-kunden-konto.com/sicher-einloggen,0,0,0,0,0,0,0,10,10,10,10,10
7470092,https://fr-logisticsllc.com/,1,1,1,1,1,1,1,1,1,1,1,1
7470091,https://digitalgrup-banproonline.com/,7,7,7,7,7,7,7,7,7,7,7,7
7470099,https://gvxnkubvfg.web.app/#[emailÂ,3,3,3,3,3,3,3,3,3,3,3,3
7470102,https://variablesports.com/RS/Notificaciones_Banreservas/,0,0,0,0,6,6,6,6,6,6,6,6
7470100,https://in2homedecorprojects.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470096,https://bestipagefcu.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470104,https://www.youtube.com/channel/UCTvFNMp6lTCwe1ogse6Xs3w,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470103,https://dplanet.synnexsoftech.com/bethpagefcu.services/#wa=wsignin1.0&rpsnv=13&ct=1539585327&rver=7.0.6737.0&wp=MBI_SSL&wreply=https%3a%2f%2foutlook.live.com%2fowa%2f%3fnlp%3d1%26RpsCsrfState%3d715d44a2-2f11-4282-f625-a066679e96e2&id=292841&CBCXT=out&lw=1&fl=dob%2cflname%2cwld&cobrandid=90015&domain=,1,1,1,1,1,1,1,1,1,1,1,1
7470109,https://mftele.com/cgi-sys/suspendedpage.cgi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470108,https://mftele.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470107,https://fiverr.bestreviewer.net,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470106,https://fiverr.rofirahman.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470115,https://verisonenterprice.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470111,https://fiverr.dotverity.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
