ID,URL,4/7/22 16:29,4/7/22 17:30,4/7/22 18:30,4/7/22 19:30,4/7/22 20:31,4/7/22 21:31,4/7/22 22:31
7480525,https://www.google.md/url?usg=AFQjCNGivfYSHvFRCmgQqLO_c-a_vQuzHg&sntz=1&sa=D&q=https://spk-kunden-nutzen.com/8QY67Y8Z54#LUqrwaNfJtb,-1,-1,-1,-1,-1,-1,-1
7480524,https://www.google.mu/url?usg=AFQjCNHip6LhX2_wo1H8JwssaO1yxtr1TA&sntz=1&sa=D&q=https://spk-mitarbeiter-nummer.com/LPHF0IAY32#QpPoRU7M6pT,-1,-1,-1,-1,-1,-1,-1
7480533,http://sunlet.com.hk,0,0,0,0,0,0,0
7480531,http://www.floranostra.hu/main/form/,10,10,10,10,10,10,10
7480538,http://2udapps.online,13,13,13,13,14,14,14
7480541,https://application.axisbank.co.in/App_redirect/redirect.aspx?id=excesscredit,0,0,0,0,0,0,0
7480545,https://theproperrestaurant.net/mps_t/,4,4,4,4,4,4,4
7480544,https://tinyurl.com/sicurezza-allert-MPS,6,6,6,6,6,6,6
7480543,https://duplicate-of-online-pdf-portal.ycodeapp.com/,7,7,7,7,7,7,7
7480554,https://siena-assist.com/accedi.it/,11,11,11,11,11,11,11
7480611,http://guardmindset.co.za/laravel/vendor/guzzlehttp/vulamahlo.htm,9,9,9,9,9,9,9
7480594,https://navigo.net.ru,19,19,19,19,19,19,17
7480623,http://paquete-correos-express.es.swtest.ru/Es-Correos/servicio_al_cliente/Seleccione_medio_de_pago.php,12,12,12,12,12,12,12
7480622,https://us-irs.gov-get-your-coronavirus-impact-status.com/,12,12,12,12,12,12,12
7480617,https://rirdufuspo.weebly.com/,18,18,18,18,18,18,18
7480615,https://attcustomeralertser2022.weebly.com/,14,14,14,14,14,14,14
7480637,https://flowserver.xyz,-1,-1,-1,-1,-1,-1,-1
7480630,http://attachedfile-com.duckdns.org/microsoft/account.php,19,19,19,19,19,19,19
7480643,https://v2.unrekt.net/,6,6,6,6,6,6,6
7480646,https://freeosieoc.ml/,17,17,17,17,17,17,16
7480645,http://aalegro.com,0,0,0,0,0,0,0
7480663,https://dfghjkertyuiktyuil.weeblysite.com/,17,17,17,17,17,17,17
7480662,http://findomestic.briceni.md/,14,14,14,14,14,14,14
7480655,https://vollora.com,-1,-1,-1,-1,-1,-1,-1
7482007,https://tc-donaustetten.de/administrator/components/com_dpcalendar/libraries/caldav/vendor/sabre/vobject/lib/Sabre/VObject/Property/ICalendar/admin.php?r=bD1odHRwczovL3Nway1rdW5kZW5kZXBvdC5jb20vMjQ3UjZHWjkxWg==,3,3,3,3,3,3,3
7482005,https://atthgshshjs.weebly.com/,6,6,6,6,6,6,6
7482002,https://www.lrs22.info/?10271807311,10,10,10,10,10,10,10
7482000,https://assetaccess.site/app/index.html,2,2,2,2,2,2,2
7481999,http://assetaccess.site,1,1,1,1,1,1,1
7481997,https://freeaccountupdate.weebly.com/,7,7,7,7,7,14,14
7481996,https://gfhfjhejathjvnmnjmattcu.weebly.com/,8,8,8,8,8,8,8
7481990,https://webde6.yolasite.com/,0,0,0,0,0,0,0
